Ward NO,Beds,area covered,Services,Staff,Contact,Sl No.,No of Applications,Total Collection (Amount in lakhs),Area (sq km)_x,Lakes #_x,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,Community bins/ compactor bins/ Dhalaos etc-Commercial Waste quantity (TPD),Community bins/ compactor bins/ Dhalaos etc-Size of bins/ containers (L),Community bins/ compactor bins/ Dhalaos etc-Year of purchase,Total no. of Households,Govt Schools #_x,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,State Code,HH condition - total,HH condition - Good,HH Condition - Livable,HH Condition - Dilapidated,HH Residence - total,HH Residence - Good,HH Residence - Livable,HH residence - dilapidated,HH residence-cum-other-use total,HH residence-cum-other-use Good,HH residence-cum-other-use Livable,HH residence-cum-other-use Dilapidated,Roof - Grass/ Thatch/ Bamboo/ Wood/Mud etc.,Roof - Plastic/ Polythene,Roof - Hand made Tiles,Roof - Machine made Tiles,Roof - Burnt Brick,Roof - Stone/ Slate,Roof - G.I./Metal/ Asbestos sheets,Roof - Concrete,Roof - Any other material,Wall - Grass/ Thatch/ Bamboo etc.,Wall - Plastic/ Polythene,Wall - Mud/Unburnt brick,Wall - Wood,Wall -Stone not packed with mortar,Wall - Stone packed with mortar,Wall -G.I./ Metal/ Asbestos sheets,Wall - Burnt brick,Wall - Concrete,Wall - Any other material,Floor - Mud,Floor - Wood/ Bamboo,Floor - Burnt Brick,Floor - Stone,Floor - Cement,Floor - Mosaic/ Floor tiles,Floor - Any other material,Dwelling rooms - No exclusive room,Dwelling rooms - One room,Dwelling rooms - Two rooms,Dwelling rooms - Three rooms,Dwelling rooms - Four rooms,Dwelling rooms - Five rooms,Dwelling rooms - Six rooms and above,HH Size - 1,HH Size - 2,HH Size - 3,HH Size - 4,HH Size - 5,HH Size - 6-8,HH Size - 9+,Ownership - Owned,Ownership -  Rented,Ownership -  Any others,Married Couple - None,Married Couple - 1,Married Couple - 2,Married Couple - 3,Married Couple - 4,Married Couple - 5+,Drinking Water - Tapwater from treated source,Drinking Water - Tapwater from un-treated source,Drinking Water - Covered well,Drinking Water - Un-covered well,Drinking Water - Handpump,Drinking Water - Tubewell/Borehole,Drinking Water - Spring,Drinking Water - River/Canal,Drinking Water - Tank/Pond/Lake,Drinking Water -  Other sources,Drinking water source - Within premises,Drinking water source - Near premises,Drinking water source - Away,Lighting - Electricity,Lighting - Kerosene,Lighting - Solar energy,Lighting - Other oil,Lighting - Any other,Lighting - No lighting,Number of households having latrine facility within the premises,Flush lutrince connected to Piped sewer system,Flush lutrince connected to Septic tank,Flush lutrince connected to Other system,Pit latrine With slab/ventilated improved pit,Pit Latrine - Without slab/  open pit,Night soil disposed into open drain,Night soil removed by human,Night soil serviced by animal,Number of households not having latrine facility within the premises,Alternative source -Public latrine,Alternative source - Open,bathing facility within the premises -Bathroom,bathing facility within the premises - Enclosure without roof,bathing facility within the premises - No,Waste water outlet connected to Closed drainage,Waste water outlet connected to Open drainage,Waste water outlet connected to No drainage,Type of Cooking Fuel - Fire-wood,Type of Cooking Fuel - Crop residue,Type of Cooking Fuel - Cowdung cake,"Type of Cooking Fuel - Coal,Lignite,Charcoal",Type of Cooking Fuel -  Kerosene,Type of Cooking Fuel -  LPG/PNG,Type of Cooking Fuel -  Electricity,Type of Cooking Fuel - Biogas,Type of Cooking Fuel - Any other,Type of Cooking Fuel - No cooking,Kitchen Facility Total,Kitchen Facility  - Cooking inside house,Kitchen Facility  - Cooking inside house - Has Kitchen,Kitchen Facility  - Cooking inside house - Does not have kitchen,Kitchen Facility  - Cooking outside house:,Kitchen Facility  - Cooking outside house: Has Kitchen,Kitchen Facility  - Cooking outside house: Does not have kitchen,Kitchen Facility  - Cooking outside house: No Cooking,Total number of households availing banking services,Availability of assets - Radio/Transistor,Availability of assets - Television,Availability of assets Computer/Laptop - With Internet,Availability of assets Computer/Laptop - Without Internet,Availability of assets Landline only,Availability of assets Mobile only,Availability of assets Both,HH with Bicycle,HH - Scooter/ Motorcycle/Moped,HH - Car/ Jeep/Van,"HH - Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",None of the assets specified in prev column,Type of structure of census house - Permanent,Type of structure of census house - Semi-Permanent,Type of structure of census house - Total Temporary,Type of structure of census house - Serviceable,Type of structure of census house - Non-Serviceable,Type of structure of census house - Unclassifiable,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons),Area (sq km)_y,Lakes #_y,Playgrounds #,Govt Schools #_y,Police Stations #,Fire stations #,BMTC TTMC #,Waste Quantity (TPD),Collection Vehicle details-Capacity (in cubic meters),Collection Vehicle details-Year of purchase,Collection Vehicle details-Nos of Vehicle,Collection Vehicle details-Frequency of trips /day,Number of Connections,Consumption in ML
83,,,,,,843,26856,2259.0299999999997,11.2,1,1.845,0.0,0.0,0.3,0.0,2016.0,11423,7,43942,23604,20338,8138,4104,4034,784,428,356,29,100,78.2,20.8,1.0,99.6,78.0,20.7,1.0,0.4,0.2,0.1,0.0,1.3,0.9,2.8,1.7,0.7,3.1,32.9,56.4,0.1,0.2,0.5,6.5,0.0,5.0,11.3,0.1,55.3,21.0,0.1,1.4,0.0,0.3,0.7,51.9,45.5,0.1,5.3,32.8,37.5,16.8,6.4,0.8,0.4,6.9,14.7,21.2,27.8,15.1,12.7,1.6,40.2,58.3,1.6,20.0,71.5,7.2,1.1,0.1,0.0,49.8,14.7,0.4,0.0,0.1,31.6,0.1,0.0,2.2,1.0,63.6,26.6,9.8,98.4,1.5,0.0,0.0,0.0,0.0,95.1,23.2,47.9,0.6,20.8,0.4,0.1,2.0,0.0,4.9,0.3,4.5,96.6,2.1,1.4,35.4,58.4,6.2,4.4,0.2,0.0,0.0,19.2,73.1,0.4,0.1,0.1,2.5,100,97.1,94.8,2.4,0.4,0.2,0.1,2.5,62.1,33.0,82.6,14.8,12.0,6.6,78.0,4.7,23.5,35.2,11.9,16.0,3.3,91.2,7.7,0.9,0.3,0.7,0.2,26022,17920,43942,11.2,1,0,7,2,0,1,21.66,0.5,0.0,22,2,962,42.89
84,,,,,,846,40069,6311.0599999999995,12.6,3,2.242,0.0,0.0,1.3,0.0,0.0,13419,2,50556,26388,24168,5614,2854,2760,901,458,443,29,100,74.9,23.7,1.4,99.4,74.5,23.6,1.4,0.6,0.4,0.2,0.0,1.2,0.8,3.3,4.5,0.3,3.3,29.1,57.5,0.1,0.3,0.6,5.3,0.0,8.8,12.0,1.4,45.5,26.0,0.1,4.1,0.0,0.4,2.3,41.1,51.9,0.2,8.1,31.3,33.6,17.9,6.0,1.9,1.1,6.7,16.5,21.5,29.1,14.2,10.7,1.3,39.8,58.5,1.8,18.7,72.2,8.0,0.9,0.1,0.0,54.2,16.1,0.2,0.2,0.4,26.4,0.0,0.0,0.0,2.5,62.6,27.4,10.1,97.9,1.7,0.0,0.3,0.1,0.1,94.8,29.3,27.6,2.6,35.2,0.1,0.1,0.0,0.0,5.2,1.0,4.1,94.0,3.2,2.8,44.0,48.3,7.7,9.4,0.4,0.1,0.2,13.8,73.8,0.3,0.7,0.1,1.1,100,97.8,96.0,1.9,1.0,0.5,0.5,1.1,65.5,31.9,84.8,17.4,12.1,8.3,72.7,9.3,26.1,42.6,17.6,21.4,3.4,92.5,6.5,0.8,0.0,0.8,0.2,28197,22359,50556,12.6,3,3,2,2,0,0,24.92,0.5,0.0,24,2,2003,117.83
85,,,,,,849,68371,16836.989999999998,12.0,5,1.845,0.0,0.0,0.856,0.0,0.0,17755,0,63083,32888,30195,5430,2788,2642,1078,552,526,29,100,86.3,12.4,1.3,99.7,86.1,12.3,1.3,0.3,0.2,0.1,0.0,2.5,0.7,0.8,0.5,0.2,3.5,11.5,80.2,0.1,0.2,0.3,3.2,0.0,5.6,22.9,0.7,30.6,36.4,0.2,1.1,0.0,0.2,1.9,19.3,77.2,0.2,2.1,13.1,23.2,32.3,20.7,6.3,2.4,4.6,18.9,29.0,27.3,11.5,7.8,0.9,46.8,51.4,1.8,14.3,76.7,8.0,0.9,0.1,0.0,44.5,11.2,1.0,0.4,0.1,35.3,0.2,0.1,0.2,7.0,73.5,16.5,10.0,98.4,1.2,0.0,0.1,0.2,0.2,97.4,64.7,11.7,0.6,18.4,0.0,0.0,0.4,1.6,2.6,0.6,2.0,96.7,2.1,1.2,78.2,18.6,3.2,6.4,0.1,0.0,0.1,6.3,85.5,0.2,0.3,0.0,1.1,100,97.8,95.9,1.9,1.2,0.4,0.7,1.1,88.2,45.3,91.0,56.0,13.6,11.7,45.7,39.9,34.2,58.0,49.0,59.8,1.0,93.4,5.9,0.4,0.1,0.3,0.3,32992,30091,63083,12.0,5,3,0,0,0,0,31.09,0.5,0.0,22,2,6724,413.37
86,,,,,,852,15540,4683.5599999999995,3.1,0,1.18,0.0,0.0,1.4,0.0,0.0,11051,6,39768,22555,17213,5390,2751,2639,712,369,343,29,100,81.8,17.7,0.5,99.5,81.5,17.6,0.5,0.5,0.4,0.1,0.0,1.0,0.8,1.1,0.4,0.4,4.5,24.5,66.8,0.6,0.2,0.2,4.9,0.0,5.9,17.3,0.4,40.4,30.5,0.2,1.0,0.1,0.3,1.9,35.9,59.1,1.7,5.4,28.3,39.7,20.6,3.6,1.4,1.0,7.2,19.0,22.5,26.4,13.3,9.9,1.7,29.5,69.3,1.2,27.1,64.7,7.1,1.0,0.1,0.0,67.9,6.6,0.6,0.3,1.7,19.7,0.0,0.4,1.0,1.8,61.9,29.8,8.3,98.6,1.1,0.1,0.1,0.1,0.1,97.8,38.8,20.9,2.3,34.8,0.1,0.9,0.0,0.1,2.2,0.5,1.7,98.1,1.2,0.7,46.9,51.9,1.3,3.5,0.4,0.1,0.0,15.7,74.8,0.6,1.7,0.4,2.8,100,96.7,95.0,1.7,0.5,0.3,0.3,2.8,75.5,21.3,85.0,26.1,18.8,7.5,76.8,9.4,15.0,44.1,13.3,27.0,1.4,92.7,6.1,0.4,0.2,0.2,0.8,20068,19700,39768,3.1,0,0,6,1,0,0,19.6,0.5,0.0,20,2,4632,156.44
87,,,,,,855,10727,572.08,6.8,0,1.515,0.0,0.0,0.324,0.0,0.0,10044,3,39926,20925,19001,6793,3406,3387,1113,585,528,29,100,70.1,29.2,0.7,99.8,70.0,29.1,0.7,0.2,0.1,0.1,0.0,1.5,0.8,0.7,0.5,0.3,5.9,14.6,75.7,0.0,0.2,0.3,1.2,0.0,9.1,21.9,0.7,46.6,19.8,0.1,1.0,0.1,0.1,0.1,55.0,43.6,0.1,4.2,26.0,38.1,20.0,7.5,2.8,1.4,8.4,12.4,20.8,29.5,15.2,11.9,1.7,25.7,72.9,1.3,18.9,73.1,6.9,1.0,0.2,0.0,46.6,1.5,0.5,0.0,0.0,36.6,0.0,0.0,0.1,14.5,66.0,13.6,20.3,98.9,0.7,0.1,0.2,0.0,0.1,97.2,36.0,24.4,2.3,33.7,0.0,0.5,0.0,0.4,2.8,1.3,1.5,92.9,6.2,1.0,61.5,34.5,4.0,2.0,0.3,0.1,0.0,14.9,81.1,0.4,0.1,0.0,1.1,100,98.7,95.7,3.0,0.2,0.0,0.2,1.1,75.2,54.4,87.7,17.0,18.1,10.2,68.6,15.8,32.4,53.4,14.2,25.7,1.9,96.2,3.3,0.4,0.0,0.4,0.1,23469,16457,39926,6.8,0,0,3,1,0,0,15.98,0.5,0.0,16,2,4372,91.06
88,,,,,,858,15680,4304.22,1.9,0,1.845,0.0,0.0,2.876,0.0,0.0,9741,4,38251,19425,18826,9311,4654,4657,678,338,340,29,100,78.6,19.8,1.6,99.5,78.4,19.5,1.6,0.5,0.2,0.3,0.0,1.3,0.6,2.0,1.6,0.4,4.0,18.2,71.9,0.1,0.6,0.1,8.6,0.2,9.2,18.9,0.2,44.7,17.4,0.2,1.4,0.1,0.4,2.5,30.6,64.5,0.6,4.9,24.2,29.8,27.5,8.9,3.1,1.6,6.1,15.5,21.1,27.5,15.2,12.3,2.4,44.0,53.5,2.5,18.6,72.6,7.4,1.2,0.2,0.1,88.0,3.6,0.5,0.4,0.6,6.1,0.2,0.0,0.0,0.7,86.5,7.1,6.3,99.1,0.7,0.0,0.1,0.0,0.1,99.0,92.7,1.3,0.5,3.9,0.5,0.0,0.0,0.0,1.0,0.7,0.3,97.9,1.5,0.6,95.3,3.9,0.8,4.5,0.3,0.2,0.1,11.9,79.3,0.3,2.7,0.1,0.8,100,98.7,96.7,2.0,0.4,0.0,0.4,0.8,81.5,43.0,90.1,35.3,19.3,14.2,57.5,23.4,22.9,48.7,27.0,39.0,1.4,88.9,10.4,0.5,0.3,0.2,0.2,21433,16818,38251,1.9,0,0,4,0,0,0,12.62,0.5,0.0,16,2,6005,145.13
89,0.0,90.0,0.0,0.0,0.0,861,14183,1744.31,0.9,0,1.845,0.0,0.0,0.658,0.0,0.0,8806,0,33793,16989,16804,3861,1888,1973,659,322,337,29,100,87.2,12.0,0.7,98.9,86.5,11.7,0.7,1.1,0.7,0.3,0.0,0.5,0.4,1.1,0.6,0.4,2.0,9.9,85.1,0.1,0.1,0.1,4.6,0.0,9.9,10.4,1.5,54.1,19.2,0.1,0.7,0.0,0.1,0.1,28.8,70.0,0.2,3.8,26.0,33.0,25.3,8.1,2.0,1.9,5.0,14.6,23.2,30.8,13.7,10.3,2.5,38.5,57.5,4.1,16.5,74.6,7.3,1.2,0.3,0.0,93.5,2.7,0.2,0.4,0.1,2.6,0.0,0.0,0.1,0.3,94.8,3.8,1.4,97.7,0.4,1.6,0.1,0.2,0.0,99.4,98.7,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.6,0.3,0.3,99.1,0.8,0.1,99.2,0.6,0.1,2.5,0.1,0.1,0.0,6.2,89.8,0.4,0.2,0.0,0.6,100,99.0,98.4,0.5,0.4,0.4,0.1,0.6,87.5,57.4,95.6,30.9,16.0,13.6,59.2,24.7,29.5,62.2,24.9,37.8,0.6,94.1,5.5,0.1,0.0,0.1,0.3,19252,14541,33793,0.9,0,4,0,1,0,0,11.68,0.5,0.0,17,2,4069,131.16
90,,,,,,864,14712,6047.04,1.7,1,1.3682,0.0,0.0,0.96,0.0,0.0,7771,4,35090,19627,15463,8566,4335,4231,369,246,123,29,100,78.9,20.1,1.0,98.9,78.2,19.6,1.0,1.1,0.6,0.5,0.0,0.5,0.3,0.6,0.7,1.5,2.9,12.5,81.0,0.0,0.1,0.0,6.3,0.1,1.7,7.9,0.1,45.9,37.9,0.1,1.1,0.0,0.5,0.7,40.6,56.9,0.1,4.6,31.0,31.8,22.4,6.6,2.6,1.1,7.6,12.4,18.9,28.2,15.8,14.3,2.6,47.6,48.7,3.7,19.5,69.6,9.0,1.5,0.3,0.1,98.4,0.8,0.2,0.1,0.0,0.3,0.1,0.0,0.0,0.2,88.8,9.8,1.4,99.5,0.4,0.0,0.1,0.0,0.1,98.1,97.2,0.5,0.0,0.4,0.0,0.0,0.0,0.0,1.9,1.9,0.0,97.9,0.7,1.3,98.3,1.3,0.4,0.9,0.1,0.2,0.0,19.0,77.9,0.0,0.0,0.0,1.8,100,97.9,95.6,2.3,0.3,0.1,0.2,1.8,76.1,38.0,93.4,23.0,21.2,7.5,63.4,23.5,22.1,49.5,18.9,32.2,0.8,92.9,6.7,0.3,0.3,0.0,0.1,18288,16802,35090,1.7,1,1,4,0,0,0,13.99,0.5,0.0,18,2,5602,333.52
91,,,,,,867,13567,1063.1999999999998,0.8,0,1.5,0.0,0.0,0.632,0.0,0.0,7074,2,32689,16493,16196,2007,979,1028,157,82,75,29,100,76.1,22.0,1.9,96.6,73.4,21.3,1.9,3.4,2.7,0.7,0.1,0.9,0.1,2.9,2.0,0.8,2.2,12.6,78.2,0.3,0.0,0.1,6.3,0.1,4.5,9.1,0.4,55.6,23.9,0.1,0.6,0.0,0.1,1.5,45.5,51.5,0.7,3.7,29.0,34.9,22.6,6.4,1.8,1.6,2.1,8.2,16.9,27.8,19.5,20.7,4.8,39.7,58.0,2.3,16.4,71.9,9.1,2.0,0.5,0.1,96.9,1.5,0.4,0.5,0.0,0.5,0.0,0.0,0.0,0.1,96.3,3.2,0.5,99.5,0.4,0.1,0.0,0.0,0.0,98.6,98.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,1.4,1.4,0.1,99.2,0.2,0.6,99.5,0.5,0.1,3.5,0.4,0.0,0.0,12.7,82.0,0.1,0.9,0.0,0.4,100,99.5,97.6,1.9,0.2,0.1,0.1,0.4,65.1,29.9,92.6,12.7,16.4,8.2,72.3,14.9,22.3,56.0,8.3,20.5,0.9,92.6,6.6,0.5,0.4,0.0,0.4,21218,11471,32689,0.8,0,0,2,1,0,0,13.03,0.5,0.0,15,2,2237,108.15
92,,,,,,870,8936,618.72,0.4,0,0.348,0.0,0.0,0.652,0.0,0.0,7276,3,37506,19324,18182,2379,1154,1225,152,82,70,29,100,78.5,20.6,0.9,98.6,77.6,20.2,0.9,1.4,0.9,0.4,0.0,0.7,0.3,1.7,3.3,0.9,6.4,10.0,76.4,0.1,0.1,0.1,3.7,0.1,3.8,4.9,0.3,58.0,29.0,0.1,0.3,0.1,0.1,1.8,46.0,51.6,0.2,3.3,25.4,38.4,22.5,7.1,1.6,1.6,1.5,6.4,11.8,22.8,20.7,28.4,8.4,37.0,59.8,3.2,12.1,70.3,12.7,3.6,1.0,0.2,96.7,2.2,0.3,0.1,0.2,0.2,0.0,0.0,0.0,0.3,94.0,5.4,0.6,99.0,0.5,0.2,0.0,0.0,0.3,98.9,96.0,2.0,0.1,0.8,0.0,0.0,0.0,0.0,1.1,1.0,0.1,98.9,0.5,0.5,99.1,0.5,0.4,1.6,0.2,0.0,0.0,13.7,83.8,0.3,0.0,0.0,0.3,100,99.6,97.9,1.8,0.1,0.0,0.0,0.3,55.9,34.8,91.2,5.5,11.4,7.9,81.0,6.9,17.6,53.2,5.3,10.5,1.1,95.0,4.7,0.1,0.1,0.1,0.2,24783,12723,37506,0.4,0,0,3,1,0,0,14.95,0.5,0.0,14,2,5146,207.26
93,,,,,,873,17926,8705.27,3.1,0,1.14035,0.0,0.0,0.366,0.0,2016.0,5304,7,22815,11039,11776,2757,1342,1415,243,115,128,29,100,85.2,13.2,1.6,99.0,84.5,12.9,1.6,1.0,0.6,0.3,0.0,0.8,1.4,0.8,0.4,1.1,2.9,8.0,84.6,0.0,0.1,0.9,0.5,0.0,3.6,8.1,0.3,67.3,19.1,0.0,1.2,0.1,0.1,1.9,22.9,73.6,0.1,3.6,16.8,27.4,25.2,13.8,6.0,7.1,6.5,12.7,19.2,28.2,15.3,14.5,3.6,57.3,33.6,9.1,18.6,65.7,12.6,2.5,0.4,0.1,95.4,3.5,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4,95.6,2.7,1.7,98.3,1.5,0.0,0.0,0.1,0.0,98.3,97.8,0.2,0.3,0.0,0.0,0.0,0.0,0.0,1.7,1.4,0.3,96.1,2.2,1.6,97.3,1.3,1.4,6.4,0.3,0.0,0.0,5.8,86.4,0.3,0.1,0.0,0.7,100,98.1,96.3,1.8,1.2,0.0,1.2,0.7,91.6,62.0,94.1,44.2,17.6,13.6,35.8,47.9,28.2,58.3,49.8,54.2,1.4,97.3,1.7,1.0,0.1,0.9,0.1,13476,9339,22815,3.1,0,5,7,1,1,0,9.09,0.5,0.0,24,2,3735,236.53
94,,,,,,876,15968,5436.86,1.9,0,2.01,0.0,0.0,1.89,0.0,2016.0,6599,6,31208,17306,13902,6377,3212,3165,263,153,110,29,100,78.0,20.4,1.6,97.5,77.4,19.8,0.4,2.5,0.6,0.6,1.2,1.5,0.2,3.6,0.8,0.5,5.2,15.7,70.3,2.1,0.3,0.0,10.0,0.0,6.9,8.2,0.3,52.0,22.1,0.0,1.0,0.0,0.1,1.2,53.0,44.7,0.0,5.0,36.8,21.6,18.9,10.0,3.9,3.8,5.0,11.3,15.9,26.9,17.6,18.3,5.0,55.0,40.2,4.8,15.6,68.6,12.0,3.1,0.5,0.1,90.5,7.3,0.0,0.1,0.1,1.6,0.0,0.0,0.0,0.3,82.3,15.5,2.2,98.5,1.1,0.0,0.2,0.1,0.1,87.4,86.7,0.5,0.0,0.1,0.0,0.0,0.0,0.0,12.6,12.3,0.3,90.8,2.0,7.1,96.8,2.9,0.3,4.5,0.2,0.0,0.0,22.9,71.0,0.1,0.1,0.0,1.1,100,98.1,87.0,11.1,0.8,0.7,0.1,1.1,69.9,42.6,89.1,20.3,19.7,10.5,57.9,23.1,20.3,44.2,19.7,27.7,2.7,87.4,10.0,0.4,0.2,0.2,2.2,17984,13224,31208,1.9,0,5,6,2,0,0,11.95,0.5,0.0,20,2,4773,355.45
95,,,,,,879,7170,2042.5,1.3,0,1.755,0.0,0.0,1.848,0.0,0.0,8711,3,37693,19313,18380,16365,8266,8099,607,329,278,29,100,67.1,32.1,0.9,99.7,66.9,32.0,0.9,0.3,0.2,0.1,0.0,1.1,0.9,5.0,3.1,1.9,3.1,31.2,53.6,0.1,0.2,0.5,9.9,0.0,10.8,13.0,0.3,54.3,11.0,0.1,1.3,0.1,0.3,1.2,73.9,22.9,0.2,7.1,56.1,25.1,9.4,1.7,0.3,0.3,2.8,9.6,15.7,30.4,20.1,18.6,2.8,47.3,49.7,3.1,11.6,79.3,7.4,1.4,0.2,0.1,92.8,2.7,0.1,0.0,1.1,2.8,0.1,0.0,0.0,0.4,79.7,19.3,1.0,98.5,1.4,0.0,0.0,0.0,0.0,89.8,87.3,0.4,0.8,1.1,0.0,0.0,0.0,0.0,10.2,10.1,0.2,94.5,0.8,4.7,90.7,7.4,1.9,2.4,0.2,0.1,1.5,43.4,51.4,0.1,0.5,0.0,0.2,100,99.7,93.8,5.9,0.1,0.0,0.0,0.2,40.4,21.3,85.9,7.3,9.1,4.1,70.2,8.1,11.5,24.1,6.2,8.9,5.2,88.1,10.7,0.9,0.4,0.4,0.2,21124,16569,37693,1.3,0,1,3,0,0,0,14.43,0.5,0.0,21,2,3091,60.53
96,,,,,,882,7436,728.55,0.8,0,1.495,0.0,0.0,0.96,0.0,0.0,8693,3,38110,19481,18629,6637,3300,3337,357,168,189,29,100,69.2,28.0,2.8,99.5,68.8,27.8,2.8,0.5,0.3,0.2,0.0,0.4,0.2,2.5,1.0,0.6,2.4,22.6,70.3,0.1,0.0,0.1,6.4,0.0,4.3,12.9,1.2,55.4,19.8,0.0,1.3,0.1,0.3,0.3,60.8,37.0,0.2,7.1,33.9,34.8,17.0,4.4,2.1,0.7,3.1,9.8,17.3,30.2,19.5,16.8,3.3,31.4,66.2,2.3,13.6,76.0,8.7,1.3,0.3,0.0,91.4,7.9,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,89.4,8.9,1.7,99.4,0.5,0.1,0.0,0.0,0.1,97.3,95.0,1.6,0.0,0.6,0.0,0.0,0.0,0.0,2.7,2.3,0.4,97.4,0.7,1.9,97.2,2.5,0.3,1.1,0.2,0.1,0.0,25.9,72.2,0.0,0.1,0.1,0.3,100,99.5,96.5,3.0,0.2,0.1,0.1,0.3,46.1,23.3,88.9,6.5,11.5,4.2,76.2,7.6,11.0,33.8,5.5,10.1,3.2,93.2,6.2,0.4,0.4,0.0,0.1,21973,16137,38110,0.8,0,1,3,0,0,0,14.59,0.5,0.0,18,2,3419,141.04
97,,,,,,885,8496,662.61,0.4,0,2.61,0.0,0.0,0.82,0.0,0.0,8253,3,35721,18163,17558,11005,5502,5503,245,125,120,29,100,88.1,11.6,0.3,99.6,87.8,11.4,0.3,0.4,0.3,0.1,0.0,0.3,0.2,2.2,1.2,0.7,4.1,16.7,74.5,0.1,0.2,0.0,4.6,0.0,4.9,8.4,0.4,60.4,20.9,0.1,0.5,0.0,0.7,0.4,54.0,44.3,0.2,4.2,35.8,29.5,19.7,6.0,2.4,2.3,3.3,9.2,17.5,31.8,18.9,16.4,2.9,38.0,58.8,3.2,11.9,77.6,8.7,1.6,0.2,0.0,94.5,3.9,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.1,93.9,5.7,0.4,99.4,0.4,0.0,0.0,0.1,0.0,97.6,94.0,0.5,0.7,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.0,98.0,1.5,0.6,96.5,3.3,0.1,1.1,0.3,0.1,0.1,22.9,74.8,0.1,0.1,0.0,0.5,100,98.6,96.4,2.2,0.9,0.7,0.2,0.5,61.0,33.8,91.8,9.1,14.8,8.9,69.6,9.4,13.5,40.0,6.5,13.5,2.4,94.6,5.2,0.1,0.0,0.1,0.1,20156,15565,35721,0.4,0,3,3,0,0,0,13.71,0.5,0.0,20,2,3497,83.02
98,,,,,,888,8586,1081.98,0.6,0,1.24,0.0,0.0,0.71,0.0,0.0,8276,4,32913,16837,16076,1979,989,990,184,96,88,29,100,81.1,18.5,0.4,99.7,80.8,18.5,0.4,0.3,0.2,0.0,0.0,0.2,0.1,0.4,0.6,0.2,3.5,13.4,81.7,0.0,0.0,0.0,0.5,0.0,0.8,0.6,0.1,93.4,4.5,0.0,0.2,0.0,0.1,0.1,44.8,54.8,0.0,6.0,47.7,33.3,10.8,1.5,0.4,0.3,4.0,10.7,20.4,33.5,16.6,12.8,2.0,30.0,68.0,2.0,15.8,73.6,8.9,1.5,0.2,0.0,96.0,1.6,0.1,0.0,0.0,2.1,0.0,0.0,0.0,0.2,98.5,1.4,0.1,99.7,0.2,0.0,0.0,0.0,0.1,99.8,99.6,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.1,0.0,99.8,0.1,0.1,99.8,0.2,0.0,1.1,0.0,0.0,0.1,11.5,86.5,0.2,0.0,0.0,0.5,100,99.5,99.1,0.4,0.0,0.0,0.0,0.5,73.1,58.4,92.9,10.5,14.1,3.6,77.0,14.4,16.8,48.3,9.2,16.6,0.7,99.1,0.8,0.0,0.0,0.0,0.0,20077,12836,32913,0.6,0,1,4,0,0,0,12.63,0.5,0.0,19,2,3074,84.73
99,,,,,,891,10047,1404.99,0.9,0,1.4,0.0,0.0,1.848,0.0,0.0,8398,1,33084,16969,16115,2322,1158,1164,361,201,160,29,100,78.9,20.5,0.6,99.0,78.4,20.0,0.6,1.0,0.5,0.5,0.0,0.3,0.6,0.7,0.3,0.3,2.4,11.6,83.7,0.0,0.0,0.0,0.9,0.0,8.5,13.3,0.4,59.6,17.1,0.1,0.2,0.0,0.2,1.4,35.9,62.1,0.2,4.1,28.0,33.5,20.1,8.9,3.1,2.3,4.1,12.8,22.6,30.6,15.1,12.1,2.6,34.7,60.9,4.3,15.9,74.2,8.3,1.4,0.2,0.0,97.1,1.3,0.0,0.1,0.1,0.7,0.5,0.0,0.0,0.1,96.4,3.5,0.2,98.5,0.2,1.3,0.1,0.0,0.0,98.9,98.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.7,99.5,0.3,0.2,99.4,0.5,0.1,5.1,0.0,0.1,0.1,10.0,83.4,0.4,0.0,0.1,0.7,100,99.0,98.0,1.0,0.3,0.2,0.1,0.7,77.4,47.3,90.8,17.8,24.2,8.0,67.7,20.2,19.1,52.4,18.9,28.5,1.0,98.0,1.7,0.1,0.1,0.0,0.2,19356,13728,33084,0.9,0,2,1,1,0,0,12.69,0.5,0.0,25,2,3922,113.8
